"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"pop_mu[1]",-0.548138316590116,0.00171881052000074,0.0799393699686168,-0.703074180528015,-0.601508121848683,-0.548927843246676,-0.494770236516418,-0.391110018376254,2163.04440910709,1.00227829596979
"pop_mu[2]",0.612750884972492,0.00256258310932546,0.133309383757702,0.347084649215159,0.525366501544914,0.613310623894278,0.701452422455347,0.874635581038126,2706.23510358107,1.00157495041674
"pop_mu[3]",-3.83142008547425,0.00472983607348397,0.320002620840647,-4.4619203310698,-4.04206124404632,-3.83269032593738,-3.6193624951171,-3.19476301754641,4577.35812238811,1.00045510649744
"pop_mu[4]",-0.127032756939648,0.00314284724720369,0.169287860495998,-0.46899849174599,-0.237448864143846,-0.125493380036428,-0.0137981487057614,0.202831116107965,2901.3831587887,1.00222857124292
"tau[1]",0.530038239729148,0.000759805234090655,0.0560910710136624,0.432234073260514,0.491251159892709,0.525230530310641,0.564447655859298,0.652314583528284,5449.82934729826,1.00023208128967
"tau[2]",0.850338110578715,0.00127529972695238,0.107690815966504,0.665348071438345,0.774590352688771,0.841108048357455,0.915428937908832,1.08516946485844,7130.71044942793,1.00007819098671
"tau[3]",2.15785987157754,0.00302764534030041,0.29446637869332,1.66997610308843,1.94954637537301,2.12694513503693,2.3328807693572,2.82542809091176,9459.35294912066,1.00105683375011
"tau[4]",1.10238415295217,0.00146232058793815,0.124984469866292,0.88500921267226,1.01463250724424,1.09275028398679,1.1794632391235,1.37625212346041,7305.11262551681,1.00047250766848
"L[1,1]",1,NA,0,1,1,1,1,1,NA,NA
"L[1,2]",0,NA,0,0,0,0,0,0,NA,NA
"L[1,3]",0,NA,0,0,0,0,0,0,NA,NA
"L[1,4]",0,NA,0,0,0,0,0,0,NA,NA
"L[2,1]",-0.901205869112674,0.000346893757223246,0.038470982278588,-0.95800132440533,-0.928788843791993,-0.907315147587424,-0.880328197567979,-0.809317823030713,12299.1070634705,1.00001678608513
"L[2,2]",0.424755384497912,0.000704303165599473,0.0770130743132208,0.28676377457646,0.370609341008951,0.420451213529265,0.474365117330241,0.587370974178939,11956.6534032028,1.00001566289389
"L[2,3]",0,NA,0,0,0,0,0,0,NA,NA
"L[2,4]",0,NA,0,0,0,0,0,0,NA,NA
"L[3,1]",-0.0839321344908041,0.00177124693433407,0.137851547905168,-0.350467372537281,-0.178761869772096,-0.0846806251769217,0.00896135793240615,0.188292738037617,6057.10456406649,1.00014536896378
"L[3,2]",-0.0396489240077355,0.00317448508064526,0.18256881481134,-0.384212037840408,-0.168104517024637,-0.0414762390051651,0.0856271108738967,0.318761395405541,3307.55147533713,1.00022652077528
"L[3,3]",0.968578386918533,0.000374766878414748,0.0301027844666612,0.888376811333775,0.95584882078359,0.977595712727549,0.990651609358106,0.999171134213766,6451.94914467672,1.00004666070195
"L[3,4]",0,NA,0,0,0,0,0,0,NA,NA
"L[4,1]",-0.804810346402507,0.000620468633284439,0.0599669529081131,-0.897535689687204,-0.847990107795752,-0.812962795120151,-0.770835434068822,-0.665558424806206,9340.80488738681,1.00026176862672
"L[4,2]",0.0958583743893601,0.00194027082961066,0.125624266925108,-0.151494964650323,0.0116456857718091,0.0962434311132525,0.180317837139107,0.341988014971385,4192.01059864777,1.00029043988217
"L[4,3]",-0.188528092573453,0.00097029718037059,0.0929293148436451,-0.373212507490752,-0.24982482274883,-0.188040042957886,-0.125979077786344,-0.00887195792393557,9172.67342602517,1.00019813254518
"L[4,4]",0.523170708424887,0.0007771215129429,0.0763448960191441,0.383124113320769,0.469870557969611,0.519662536366525,0.572682989879687,0.681468840987621,9651.21860191722,1.00037071452008
"z[1,1]",-0.806632840736511,0.00350996937915776,0.215585542448061,-1.24909612611672,-0.948909590191865,-0.800789768348802,-0.657533904740422,-0.401572802061839,3772.52920395118,1.00127155094447
"z[1,2]",-0.917654609422278,0.00349245638910356,0.231670436882359,-1.38542201928946,-1.07009335029736,-0.911124645391619,-0.758042660657612,-0.482982702232809,4400.26925362249,1.00080013154346
"z[1,3]",-0.0628477891868829,0.00330928799919751,0.195559132653425,-0.458047306605578,-0.192756069930455,-0.0599858262083988,0.0699322105439937,0.311381819520707,3492.10325129888,1.00121844039308
"z[1,4]",-0.828583525543993,0.00344733880027144,0.231754255925251,-1.29608534667859,-0.98090982687241,-0.822932590577897,-0.669309677196758,-0.390688882083287,4519.46993460022,1.00085447652222
"z[1,5]",1.2444098101128,0.00364179218125857,0.235595799914149,0.796400759190178,1.08229648790178,1.24162204045327,1.40046500785967,1.72040116013568,4185.08968549531,1.00106742116026
"z[1,6]",1.23014772196454,0.00362313538382435,0.250530604787817,0.755242190398467,1.05905775826616,1.2259539838794,1.39631046272538,1.73313213778061,4781.37106262006,1.00080892726353
"z[1,7]",-0.0921443823368697,0.00330169591048898,0.195489670438076,-0.483486140657925,-0.221366906023075,-0.0883736125961572,0.0401608735205231,0.283575319426856,3505.68980228879,1.00139151185481
"z[1,8]",1.74727221350562,0.00397074465981703,0.271097244515286,1.23043425039646,1.56311610848579,1.74116489066553,1.92858122602228,2.29430613545218,4661.29174414853,1.00075224200106
