"dataset","model_type","parameter","comparison","rho","p","n","sig"
"1","SVD","gamma","Joint vs RDM",0.958,0,302,"***"
"1","SVD","gamma","Joint vs DD",0.925,0,302,"***"
"1","SVD","alph","Joint vs RDM",0.994,0,302,"***"
"1","SVD","log_kapp","Joint vs DD",0.996,0,302,"***"
"1","SVR","mu","Joint vs RDM",0.733,0,302,"***"
"1","SVR","mu","Joint vs DD",0.838,0,302,"***"
"1","SVR","alph","Joint vs RDM",0.992,0,302,"***"
"1","SVR","log_kapp","Joint vs DD",0.992,0,302,"***"
"2","SVD","gamma","Joint vs RDM",0.88,0,43,"***"
"2","SVD","gamma","Joint vs DD",0.891,0,43,"***"
"2","SVD","alph","Joint vs RDM",0.978,0,43,"***"
"2","SVD","log_kapp","Joint vs DD",0.982,0,43,"***"
"2","SVR","mu","Joint vs RDM",0.583,1e-04,43,"***"
"2","SVR","mu","Joint vs DD",0.866,0,43,"***"
"2","SVR","alph","Joint vs RDM",0.992,0,43,"***"
"2","SVR","log_kapp","Joint vs DD",0.967,0,43,"***"
"3","SVD","gamma","Joint vs RDM",0.919,0,128,"***"
"3","SVD","gamma","Joint vs DD",0.841,0,128,"***"
"3","SVD","alph","Joint vs RDM",0.974,0,128,"***"
"3","SVD","log_kapp","Joint vs DD",0.991,0,128,"***"
"3","SVD","beta","Joint vs RDM",0.961,0,128,"***"
"3","SVR","mu","Joint vs RDM",0.858,0,128,"***"
"3","SVR","mu","Joint vs DD",0.808,0,128,"***"
"3","SVR","alph","Joint vs RDM",0.97,0,128,"***"
"3","SVR","log_kapp","Joint vs DD",0.995,0,128,"***"
"3","SVR","beta","Joint vs RDM",0.978,0,128,"***"
